통제ID,프로세스ID,프로세스명,위험ID,위험내용,통제명,통제목적,Key여부,통제유형,통제방법,수행주기,관련주장,통제책임부서,통제수행부서,주요증빙,사용시스템,신규통제여부,사용중여부
C0091,P06,결산,R-P06-03,재무제표 공시가 누락될 위험,결산 대사 통제 07,재무제표 공시가 누락될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,자동통제,발생시,표시와공시,재무회계팀,재무회계팀,보고서,엑셀,Y,Y
C0092,P06,결산,R-P06-03,재무제표 공시가 누락될 위험,결산 검토 통제 08,재무제표 공시가 누락될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,수기통제,발생시,권리와의무,재무회계팀,재무회계팀,시스템로그,그룹웨어,N,Y
C0093,P06,결산,R-P06-03,결산조정분개가 부적절할 위험,결산 권한 통제 09,결산조정분개가 부적절할 위험을 예방하거나 적시에 발견한다.,N,탐지통제,IT의존수기통제,발생시,표시와공시,재무회계팀,재무회계팀,보고서,해당없음,N,Y
C0094,P06,결산,R-P06-04,재무제표 공시가 누락될 위험,결산 증빙 통제 10,재무제표 공시가 누락될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,일별,표시와공시,재무회계팀,재무회계팀,시스템로그,그룹웨어,Y,Y
C0095,P06,결산,R-P06-04,재무제표 공시가 누락될 위험,결산 모니터링 통제 11,재무제표 공시가 누락될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,분기별,기간귀속,재무회계팀,재무회계팀,시스템로그,해당없음,N,Y
C0096,P06,결산,R-P06-04,재무제표 공시가 누락될 위험,결산 승인 통제 12,재무제표 공시가 누락될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,일별,권리와의무,재무회계팀,재무회계팀,검토체크리스트,해당없음,N,Y
C0097,P06,결산,R-P06-05,결산조정분개가 부적절할 위험,결산 대사 통제 13,결산조정분개가 부적절할 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,분기별,권리와의무,재무회계팀,재무회계팀,검토체크리스트,영림원ACE,N,Y
C0098,P06,결산,R-P06-05,재무제표 공시가 누락될 위험,결산 검토 통제 14,재무제표 공시가 누락될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,월별,실재성,재무회계팀,재무회계팀,결재문서,그룹웨어,N,Y
C0099,P06,결산,R-P06-05,재무제표 공시가 누락될 위험,결산 권한 통제 15,재무제표 공시가 누락될 위험을 예방하거나 적시에 발견한다.,N,탐지통제,IT의존수기통제,월별,권리와의무,재무회계팀,IT팀,대사표,전자결재,N,Y
C0100,P06,결산,R-P06-06,재무제표 공시가 누락될 위험,결산 증빙 통제 16,재무제표 공시가 누락될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,수기통제,발생시,정확성,재무회계팀,재무회계팀,대사표,전자결재,N,Y
C0101,P06,결산,R-P06-06,결산조정분개가 부적절할 위험,결산 모니터링 통제 17,결산조정분개가 부적절할 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,수기통제,분기별,실재성,재무회계팀,IT팀,대사표,엑셀,N,Y
C0102,P06,결산,R-P06-06,재무제표 공시가 누락될 위험,결산 승인 통제 18,재무제표 공시가 누락될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,수기통제,월별,권리와의무,재무회계팀,IT팀,대사표,ERP,N,Y
C0103,P06,결산,R-P06-07,결산조정분개가 부적절할 위험,결산 대사 통제 19,결산조정분개가 부적절할 위험을 예방하거나 적시에 발견한다.,N,탐지통제,수기통제,일별,정확성,재무회계팀,재무회계팀,결재문서,전자결재,N,Y
C0104,P06,결산,R-P06-07,재무제표 공시가 누락될 위험,결산 검토 통제 20,재무제표 공시가 누락될 위험을 예방하거나 적시에 발견한다.,N,예방통제,자동통제,월별,기간귀속,재무회계팀,재무회계팀,보고서,해당없음,N,Y
C0105,P07,인사급여,R-P07-01,퇴직자 급여가 계속 지급될 위험,인사급여 대사 통제 01,퇴직자 급여가 계속 지급될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,자동통제,월별,실재성,인사총무팀,IT팀,보고서,해당없음,N,Y
C0106,P07,인사급여,R-P07-01,급여가 부정확하게 계산되거나 지급될 위험,인사급여 검토 통제 02,급여가 부정확하게 계산되거나 지급될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,수기통제,분기별,권리와의무,인사총무팀,인사총무팀,대사표,그룹웨어,N,Y
C0107,P07,인사급여,R-P07-01,급여가 부정확하게 계산되거나 지급될 위험,인사급여 권한 통제 03,급여가 부정확하게 계산되거나 지급될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,수기통제,분기별,실재성,인사총무팀,IT팀,증빙첨부,엑셀,N,Y
C0108,P07,인사급여,R-P07-02,퇴직자 급여가 계속 지급될 위험,인사급여 증빙 통제 04,퇴직자 급여가 계속 지급될 위험을 예방하거나 적시에 발견한다.,N,예방통제,IT의존수기통제,월별,정확성,인사총무팀,IT팀,결재문서,전자결재,N,Y
C0109,P07,인사급여,R-P07-02,퇴직자 급여가 계속 지급될 위험,인사급여 모니터링 통제 05,퇴직자 급여가 계속 지급될 위험을 예방하거나 적시에 발견한다.,N,예방통제,자동통제,월별,권리와의무,인사총무팀,IT팀,결재문서,엑셀,Y,Y
C0110,P07,인사급여,R-P07-02,급여가 부정확하게 계산되거나 지급될 위험,인사급여 승인 통제 06,급여가 부정확하게 계산되거나 지급될 위험을 예방하거나 적시에 발견한다.,N,예방통제,수기통제,발생시,기간귀속,인사총무팀,재무회계팀,증빙첨부,그룹웨어,N,Y
C0111,P07,인사급여,R-P07-03,퇴직자 급여가 계속 지급될 위험,인사급여 대사 통제 07,퇴직자 급여가 계속 지급될 위험을 예방하거나 적시에 발견한다.,N,탐지통제,자동통제,월별,권리와의무,인사총무팀,인사총무팀,보고서,전자결재,N,Y
C0112,P07,인사급여,R-P07-03,퇴직자 급여가 계속 지급될 위험,인사급여 검토 통제 08,퇴직자 급여가 계속 지급될 위험을 예방하거나 적시에 발견한다.,N,탐지통제,수기통제,발생시,실재성,인사총무팀,IT팀,대사표,그룹웨어,N,Y
C0113,P07,인사급여,R-P07-03,퇴직자 급여가 계속 지급될 위험,인사급여 권한 통제 09,퇴직자 급여가 계속 지급될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,자동통제,월별,표시와공시,인사총무팀,인사총무팀,보고서,영림원ACE,N,Y
C0114,P07,인사급여,R-P07-04,급여가 부정확하게 계산되거나 지급될 위험,인사급여 증빙 통제 10,급여가 부정확하게 계산되거나 지급될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,수기통제,일별,표시와공시,인사총무팀,IT팀,증빙첨부,그룹웨어,N,Y
C0115,P07,인사급여,R-P07-04,퇴직자 급여가 계속 지급될 위험,인사급여 모니터링 통제 11,퇴직자 급여가 계속 지급될 위험을 예방하거나 적시에 발견한다.,N,예방통제,자동통제,발생시,완전성,인사총무팀,인사총무팀,증빙첨부,ERP,N,Y
C0116,P07,인사급여,R-P07-04,퇴직자 급여가 계속 지급될 위험,인사급여 승인 통제 12,퇴직자 급여가 계속 지급될 위험을 예방하거나 적시에 발견한다.,N,예방통제,수기통제,월별,정확성,인사총무팀,인사총무팀,결재문서,영림원ACE,N,Y
C0117,P07,인사급여,R-P07-05,퇴직자 급여가 계속 지급될 위험,인사급여 대사 통제 13,퇴직자 급여가 계속 지급될 위험을 예방하거나 적시에 발견한다.,N,탐지통제,자동통제,분기별,기간귀속,인사총무팀,IT팀,증빙첨부,그룹웨어,N,Y
C0118,P07,인사급여,R-P07-05,급여가 부정확하게 계산되거나 지급될 위험,인사급여 검토 통제 14,급여가 부정확하게 계산되거나 지급될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,수기통제,주별,정확성,인사총무팀,재무회계팀,대사표,영림원ACE,N,Y
C0119,P08,고정자산,R-P08-01,감가상각이 부정확할 위험,고정자산 대사 통제 01,감가상각이 부정확할 위험을 예방하거나 적시에 발견한다.,N,예방통제,자동통제,분기별,완전성,재무회계팀,재무회계팀,보고서,영림원ACE,Y,Y
C0120,P08,고정자산,R-P08-01,승인되지 않은 자산 취득·폐기가 발생할 위험,고정자산 검토 통제 02,승인되지 않은 자산 취득·폐기가 발생할 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,자동통제,발생시,실재성,재무회계팀,재무회계팀,검토체크리스트,전자결재,Y,Y
C0121,P08,고정자산,R-P08-01,승인되지 않은 자산 취득·폐기가 발생할 위험,고정자산 권한 통제 03,승인되지 않은 자산 취득·폐기가 발생할 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,발생시,기간귀속,재무회계팀,재무회계팀,시스템로그,그룹웨어,N,Y
C0122,P08,고정자산,R-P08-02,감가상각이 부정확할 위험,고정자산 증빙 통제 04,감가상각이 부정확할 위험을 예방하거나 적시에 발견한다.,N,예방통제,수기통제,분기별,기간귀속,재무회계팀,재무회계팀,보고서,해당없음,N,Y
C0123,P08,고정자산,R-P08-02,승인되지 않은 자산 취득·폐기가 발생할 위험,고정자산 모니터링 통제 05,승인되지 않은 자산 취득·폐기가 발생할 위험을 예방하거나 적시에 발견한다.,N,탐지통제,IT의존수기통제,분기별,완전성,재무회계팀,재무회계팀,증빙첨부,ERP,N,Y
C0124,P08,고정자산,R-P08-02,감가상각이 부정확할 위험,고정자산 승인 통제 06,감가상각이 부정확할 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,분기별,정확성,재무회계팀,재무회계팀,대사표,그룹웨어,N,Y
C0125,P08,고정자산,R-P08-03,감가상각이 부정확할 위험,고정자산 대사 통제 07,감가상각이 부정확할 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,분기별,권리와의무,재무회계팀,IT팀,보고서,해당없음,N,Y
C0126,P08,고정자산,R-P08-03,감가상각이 부정확할 위험,고정자산 검토 통제 08,감가상각이 부정확할 위험을 예방하거나 적시에 발견한다.,N,탐지통제,수기통제,주별,실재성,재무회계팀,재무회계팀,보고서,그룹웨어,N,Y
C0127,P08,고정자산,R-P08-03,승인되지 않은 자산 취득·폐기가 발생할 위험,고정자산 권한 통제 09,승인되지 않은 자산 취득·폐기가 발생할 위험을 예방하거나 적시에 발견한다.,N,탐지통제,수기통제,분기별,실재성,재무회계팀,재무회계팀,보고서,영림원ACE,N,Y
C0128,P08,고정자산,R-P08-04,승인되지 않은 자산 취득·폐기가 발생할 위험,고정자산 증빙 통제 10,승인되지 않은 자산 취득·폐기가 발생할 위험을 예방하거나 적시에 발견한다.,N,예방통제,IT의존수기통제,월별,실재성,재무회계팀,재무회계팀,증빙첨부,전자결재,N,Y
C0129,P08,고정자산,R-P08-04,감가상각이 부정확할 위험,고정자산 모니터링 통제 11,감가상각이 부정확할 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,연간,기간귀속,재무회계팀,재무회계팀,결재문서,해당없음,N,Y
C0130,P08,고정자산,R-P08-04,승인되지 않은 자산 취득·폐기가 발생할 위험,고정자산 승인 통제 12,승인되지 않은 자산 취득·폐기가 발생할 위험을 예방하거나 적시에 발견한다.,N,예방통제,IT의존수기통제,월별,정확성,재무회계팀,재무회계팀,검토체크리스트,엑셀,N,Y
C0131,P09,세무,R-P09-01,세무신고가 누락되거나 부정확할 위험,세무 대사 통제 01,세무신고가 누락되거나 부정확할 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,월별,실재성,재무회계팀,재무회계팀,보고서,해당없음,N,Y
C0132,P09,세무,R-P09-01,세무신고가 누락되거나 부정확할 위험,세무 검토 통제 02,세무신고가 누락되거나 부정확할 위험을 예방하거나 적시에 발견한다.,N,예방통제,IT의존수기통제,월별,실재성,재무회계팀,재무회계팀,증빙첨부,엑셀,N,Y
C0133,P09,세무,R-P09-01,세액 계산이 적절하지 않을 위험,세무 권한 통제 03,세액 계산이 적절하지 않을 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,분기별,기간귀속,재무회계팀,재무회계팀,대사표,해당없음,N,Y
C0134,P09,세무,R-P09-02,세무신고가 누락되거나 부정확할 위험,세무 증빙 통제 04,세무신고가 누락되거나 부정확할 위험을 예방하거나 적시에 발견한다.,N,예방통제,IT의존수기통제,일별,권리와의무,재무회계팀,IT팀,보고서,전자결재,N,Y
C0135,P09,세무,R-P09-02,세무신고가 누락되거나 부정확할 위험,세무 모니터링 통제 05,세무신고가 누락되거나 부정확할 위험을 예방하거나 적시에 발견한다.,N,탐지통제,IT의존수기통제,월별,정확성,재무회계팀,재무회계팀,시스템로그,그룹웨어,N,Y
C0136,P09,세무,R-P09-02,세무신고가 누락되거나 부정확할 위험,세무 승인 통제 06,세무신고가 누락되거나 부정확할 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,분기별,정확성,재무회계팀,재무회계팀,시스템로그,해당없음,N,Y
C0137,P09,세무,R-P09-03,세액 계산이 적절하지 않을 위험,세무 대사 통제 07,세액 계산이 적절하지 않을 위험을 예방하거나 적시에 발견한다.,N,예방통제,IT의존수기통제,월별,기간귀속,재무회계팀,재무회계팀,대사표,전자결재,N,Y
C0138,P09,세무,R-P09-03,세액 계산이 적절하지 않을 위험,세무 검토 통제 08,세액 계산이 적절하지 않을 위험을 예방하거나 적시에 발견한다.,N,탐지통제,자동통제,월별,기간귀속,재무회계팀,IT팀,증빙첨부,전자결재,N,Y
C0139,P09,세무,R-P09-03,세무신고가 누락되거나 부정확할 위험,세무 권한 통제 09,세무신고가 누락되거나 부정확할 위험을 예방하거나 적시에 발견한다.,N,예방통제,수기통제,월별,표시와공시,재무회계팀,재무회계팀,결재문서,영림원ACE,Y,Y
C0140,P09,세무,R-P09-04,세무신고가 누락되거나 부정확할 위험,세무 증빙 통제 10,세무신고가 누락되거나 부정확할 위험을 예방하거나 적시에 발견한다.,N,탐지통제,IT의존수기통제,월별,권리와의무,재무회계팀,재무회계팀,결재문서,ERP,N,Y
C0141,P10,전산일반통제,R-P10-01,시스템 변경이 승인 없이 적용될 위험,전산일반통제 대사 통제 01,시스템 변경이 승인 없이 적용될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,수기통제,월별,표시와공시,IT팀,IT팀,대사표,ERP,N,Y
C0142,P10,전산일반통제,R-P10-01,부적절한 접근권한이 부여될 위험,전산일반통제 검토 통제 02,부적절한 접근권한이 부여될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,월별,권리와의무,IT팀,재무회계팀,대사표,영림원ACE,N,Y
C0143,P10,전산일반통제,R-P10-01,시스템 변경이 승인 없이 적용될 위험,전산일반통제 권한 통제 03,시스템 변경이 승인 없이 적용될 위험을 예방하거나 적시에 발견한다.,N,탐지통제,자동통제,월별,실재성,IT팀,IT팀,증빙첨부,영림원ACE,N,Y
C0144,P10,전산일반통제,R-P10-02,시스템 변경이 승인 없이 적용될 위험,전산일반통제 증빙 통제 04,시스템 변경이 승인 없이 적용될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,월별,정확성,IT팀,IT팀,검토체크리스트,해당없음,N,Y
C0145,P10,전산일반통제,R-P10-02,시스템 변경이 승인 없이 적용될 위험,전산일반통제 모니터링 통제 05,시스템 변경이 승인 없이 적용될 위험을 예방하거나 적시에 발견한다.,N,탐지통제,자동통제,월별,실재성,IT팀,IT팀,보고서,영림원ACE,Y,Y
C0146,P10,전산일반통제,R-P10-02,시스템 변경이 승인 없이 적용될 위험,전산일반통제 승인 통제 06,시스템 변경이 승인 없이 적용될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,자동통제,월별,완전성,IT팀,재무회계팀,대사표,엑셀,N,Y
C0147,P10,전산일반통제,R-P10-03,부적절한 접근권한이 부여될 위험,전산일반통제 대사 통제 07,부적절한 접근권한이 부여될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,분기별,완전성,IT팀,IT팀,검토체크리스트,해당없음,N,Y
C0148,P10,전산일반통제,R-P10-03,시스템 변경이 승인 없이 적용될 위험,전산일반통제 검토 통제 08,시스템 변경이 승인 없이 적용될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,수기통제,월별,표시와공시,IT팀,IT팀,증빙첨부,영림원ACE,N,Y
C0149,P10,전산일반통제,R-P10-03,부적절한 접근권한이 부여될 위험,전산일반통제 권한 통제 09,부적절한 접근권한이 부여될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,분기별,표시와공시,IT팀,IT팀,검토체크리스트,해당없음,N,Y
C0150,P10,전산일반통제,R-P10-04,부적절한 접근권한이 부여될 위험,전산일반통제 증빙 통제 10,부적절한 접근권한이 부여될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,수기통제,월별,권리와의무,IT팀,IT팀,시스템로그,영림원ACE,N,Y
C0151,P10,전산일반통제,R-P10-04,시스템 변경이 승인 없이 적용될 위험,전산일반통제 모니터링 통제 11,시스템 변경이 승인 없이 적용될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,자동통제,월별,권리와의무,IT팀,IT팀,검토체크리스트,ERP,N,Y
C0152,P10,전산일반통제,R-P10-04,부적절한 접근권한이 부여될 위험,전산일반통제 승인 통제 12,부적절한 접근권한이 부여될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,발생시,정확성,IT팀,IT팀,결재문서,전자결재,N,Y
C0153,P10,전산일반통제,R-P10-05,부적절한 접근권한이 부여될 위험,전산일반통제 대사 통제 13,부적절한 접근권한이 부여될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,수기통제,월별,권리와의무,IT팀,IT팀,증빙첨부,ERP,N,Y
C0154,P10,전산일반통제,R-P10-05,시스템 변경이 승인 없이 적용될 위험,전산일반통제 검토 통제 14,시스템 변경이 승인 없이 적용될 위험을 예방하거나 적시에 발견한다.,N,예방통제,수기통제,월별,실재성,IT팀,재무회계팀,검토체크리스트,전자결재,N,Y
C0155,P10,전산일반통제,R-P10-05,부적절한 접근권한이 부여될 위험,전산일반통제 권한 통제 15,부적절한 접근권한이 부여될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,분기별,정확성,IT팀,IT팀,결재문서,해당없음,N,Y
C0156,P10,전산일반통제,R-P10-06,부적절한 접근권한이 부여될 위험,전산일반통제 증빙 통제 16,부적절한 접근권한이 부여될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,주별,정확성,IT팀,IT팀,보고서,그룹웨어,N,Y
C0157,P10,전산일반통제,R-P10-06,부적절한 접근권한이 부여될 위험,전산일반통제 모니터링 통제 17,부적절한 접근권한이 부여될 위험을 예방하거나 적시에 발견한다.,N,탐지통제,자동통제,월별,표시와공시,IT팀,IT팀,결재문서,ERP,N,Y
C0158,P10,전산일반통제,R-P10-06,시스템 변경이 승인 없이 적용될 위험,전산일반통제 승인 통제 18,시스템 변경이 승인 없이 적용될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,자동통제,발생시,기간귀속,IT팀,재무회계팀,결재문서,엑셀,N,Y
C0159,P11,법인카드,R-P11-01,사적 사용 또는 증빙 누락이 발생할 위험,법인카드 대사 통제 01,사적 사용 또는 증빙 누락이 발생할 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,월별,완전성,재무회계팀,IT팀,검토체크리스트,전자결재,N,Y
C0160,P11,법인카드,R-P11-01,사적 사용 또는 증빙 누락이 발생할 위험,법인카드 검토 통제 02,사적 사용 또는 증빙 누락이 발생할 위험을 예방하거나 적시에 발견한다.,N,탐지통제,수기통제,월별,기간귀속,재무회계팀,재무회계팀,검토체크리스트,영림원ACE,N,Y
C0161,P11,법인카드,R-P11-01,사적 사용 또는 증빙 누락이 발생할 위험,법인카드 권한 통제 03,사적 사용 또는 증빙 누락이 발생할 위험을 예방하거나 적시에 발견한다.,N,탐지통제,자동통제,월별,표시와공시,재무회계팀,재무회계팀,증빙첨부,그룹웨어,N,Y
C0162,P11,법인카드,R-P11-02,사적 사용 또는 증빙 누락이 발생할 위험,법인카드 증빙 통제 04,사적 사용 또는 증빙 누락이 발생할 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,자동통제,월별,권리와의무,재무회계팀,재무회계팀,시스템로그,엑셀,N,Y
C0163,P11,법인카드,R-P11-02,계정과목이 부적절하게 분류될 위험,법인카드 모니터링 통제 05,계정과목이 부적절하게 분류될 위험을 예방하거나 적시에 발견한다.,N,탐지통제,IT의존수기통제,연간,권리와의무,재무회계팀,재무회계팀,대사표,전자결재,N,Y
C0164,P11,법인카드,R-P11-02,계정과목이 부적절하게 분류될 위험,법인카드 승인 통제 06,계정과목이 부적절하게 분류될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,자동통제,월별,정확성,재무회계팀,재무회계팀,시스템로그,영림원ACE,N,Y
C0165,P11,법인카드,R-P11-03,계정과목이 부적절하게 분류될 위험,법인카드 대사 통제 07,계정과목이 부적절하게 분류될 위험을 예방하거나 적시에 발견한다.,N,예방통제,자동통제,분기별,기간귀속,재무회계팀,IT팀,검토체크리스트,전자결재,N,Y
C0166,P11,법인카드,R-P11-03,계정과목이 부적절하게 분류될 위험,법인카드 검토 통제 08,계정과목이 부적절하게 분류될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,분기별,표시와공시,재무회계팀,IT팀,증빙첨부,ERP,N,Y
C0167,P11,법인카드,R-P11-03,계정과목이 부적절하게 분류될 위험,법인카드 권한 통제 09,계정과목이 부적절하게 분류될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,수기통제,월별,표시와공시,재무회계팀,재무회계팀,검토체크리스트,해당없음,N,Y
C0168,P11,법인카드,R-P11-04,사적 사용 또는 증빙 누락이 발생할 위험,법인카드 증빙 통제 10,사적 사용 또는 증빙 누락이 발생할 위험을 예방하거나 적시에 발견한다.,N,예방통제,IT의존수기통제,발생시,기간귀속,재무회계팀,재무회계팀,시스템로그,ERP,N,Y
C0169,P12,전사수준통제,R-P12-01,경영진 감독이 적절히 수행되지 않을 위험,전사수준통제 대사 통제 01,경영진 감독이 적절히 수행되지 않을 위험을 예방하거나 적시에 발견한다.,N,예방통제,IT의존수기통제,발생시,기간귀속,경영기획팀,재무회계팀,검토체크리스트,그룹웨어,N,Y
C0170,P12,전사수준통제,R-P12-01,윤리 및 부정위험 관리가 미흡할 위험,전사수준통제 검토 통제 02,윤리 및 부정위험 관리가 미흡할 위험을 예방하거나 적시에 발견한다.,N,예방통제,자동통제,주별,정확성,경영기획팀,IT팀,검토체크리스트,ERP,N,Y
C0171,P12,전사수준통제,R-P12-01,윤리 및 부정위험 관리가 미흡할 위험,전사수준통제 권한 통제 03,윤리 및 부정위험 관리가 미흡할 위험을 예방하거나 적시에 발견한다.,N,예방통제,수기통제,월별,완전성,경영기획팀,IT팀,대사표,해당없음,N,Y
C0172,P12,전사수준통제,R-P12-02,경영진 감독이 적절히 수행되지 않을 위험,전사수준통제 증빙 통제 04,경영진 감독이 적절히 수행되지 않을 위험을 예방하거나 적시에 발견한다.,N,예방통제,자동통제,분기별,기간귀속,경영기획팀,경영기획팀,결재문서,해당없음,N,Y
C0173,P12,전사수준통제,R-P12-02,경영진 감독이 적절히 수행되지 않을 위험,전사수준통제 모니터링 통제 05,경영진 감독이 적절히 수행되지 않을 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,수기통제,발생시,기간귀속,경영기획팀,경영기획팀,대사표,전자결재,N,Y
C0174,P12,전사수준통제,R-P12-02,경영진 감독이 적절히 수행되지 않을 위험,전사수준통제 승인 통제 06,경영진 감독이 적절히 수행되지 않을 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,수기통제,월별,표시와공시,경영기획팀,재무회계팀,보고서,해당없음,N,Y
C0175,P12,전사수준통제,R-P12-03,윤리 및 부정위험 관리가 미흡할 위험,전사수준통제 대사 통제 07,윤리 및 부정위험 관리가 미흡할 위험을 예방하거나 적시에 발견한다.,N,예방통제,IT의존수기통제,월별,표시와공시,경영기획팀,경영기획팀,대사표,전자결재,N,Y
C0176,P12,전사수준통제,R-P12-03,경영진 감독이 적절히 수행되지 않을 위험,전사수준통제 검토 통제 08,경영진 감독이 적절히 수행되지 않을 위험을 예방하거나 적시에 발견한다.,N,예방통제,자동통제,분기별,완전성,경영기획팀,재무회계팀,검토체크리스트,영림원ACE,N,Y
C0177,P12,전사수준통제,R-P12-03,윤리 및 부정위험 관리가 미흡할 위험,전사수준통제 권한 통제 09,윤리 및 부정위험 관리가 미흡할 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,월별,실재성,경영기획팀,경영기획팀,검토체크리스트,영림원ACE,N,Y
C0178,P12,전사수준통제,R-P12-04,경영진 감독이 적절히 수행되지 않을 위험,전사수준통제 증빙 통제 10,경영진 감독이 적절히 수행되지 않을 위험을 예방하거나 적시에 발견한다.,N,예방통제,IT의존수기통제,분기별,완전성,경영기획팀,재무회계팀,증빙첨부,영림원ACE,Y,Y
C0179,P12,전사수준통제,R-P12-04,경영진 감독이 적절히 수행되지 않을 위험,전사수준통제 모니터링 통제 11,경영진 감독이 적절히 수행되지 않을 위험을 예방하거나 적시에 발견한다.,N,예방통제,자동통제,분기별,표시와공시,경영기획팀,경영기획팀,대사표,영림원ACE,N,Y
C0180,P12,전사수준통제,R-P12-04,경영진 감독이 적절히 수행되지 않을 위험,전사수준통제 승인 통제 12,경영진 감독이 적절히 수행되지 않을 위험을 예방하거나 적시에 발견한다.,N,예방통제,IT의존수기통제,발생시,실재성,경영기획팀,IT팀,시스템로그,영림원ACE,N,Y
